### AlicePawn -- 718 own properties (offsets from live-process dump)
  +0x988   LockedZones                                    ArrayProperty     
  +0x994   bCamRevolBlending                              BoolProperty       mask=0x1
  +0x994   bCameraMagnet                                  BoolProperty       mask=0x10
  +0x994   bForceResetCamera                              BoolProperty       mask=0x1000
  +0x994   bSoftResetCamera                               BoolProperty       mask=0x2000
  +0x994   bCombatToStrafeCamWait                         BoolProperty       mask=0x10000
  +0x994   bSwitchTargetDelay                             BoolProperty       mask=0x8000
  +0x994   bAliceStartCombatCam                           BoolProperty       mask=0x400
  +0x994   bYawOffsetRuntime                              BoolProperty       mask=0x100000
  +0x994   bCanCombat                                     BoolProperty       mask=0x80000000
  +0x994   bCanDoubleJump                                 BoolProperty       mask=0x10000000
  +0x994   bCanFloat                                      BoolProperty       mask=0x20000000
  +0x994   bJustPostBeginPlay                             BoolProperty       mask=0x80
  +0x994   bOldSwitchTargetDelay                          BoolProperty       mask=0x4000
  +0x994   bOldMiddleMode                                 BoolProperty       mask=0x80000
  +0x994   bMiddleModeBlend                               BoolProperty       mask=0x40000
  +0x994   bAliceCombatCamReady                           BoolProperty       mask=0x800
  +0x994   bCombatToStrafeCamBlend                        BoolProperty       mask=0x20000
  +0x994   bCloseFollowCamera                             BoolProperty       mask=0x2
  +0x994   bCameraPreset                                  BoolProperty       mask=0x8
  +0x994   bBlendCameraPresets                            BoolProperty       mask=0x100
  +0x994   bStopSettingAbilityCamera                      BoolProperty       mask=0x200
  +0x994   bCameraForcedStickTo                           BoolProperty       mask=0x20
  +0x994   bEnableCameraMagnet                            BoolProperty       mask=0x40
  +0x994   bUseCameraView                                 BoolProperty       mask=0x8000000
  +0x994   bBlockFromCamera                               BoolProperty       mask=0x1000000
  +0x994   bBlockFromPawn                                 BoolProperty       mask=0x800000
  +0x994   bKimetAbilityCamera                            BoolProperty       mask=0x4
  +0x994   bEnableTargetOnDestroyedActor                  BoolProperty       mask=0x200000
  +0x994   bLockOnFromCamera                              BoolProperty       mask=0x400000
  +0x994   bCycleSwitch                                   BoolProperty       mask=0x2000000
  +0x994   bUsePotentialField                             BoolProperty       mask=0x4000000
  +0x994   bCanSprint                                     BoolProperty       mask=0x40000000
  +0x998   bCanLockon                                     BoolProperty       mask=0x2
  +0x998   bCanShrink                                     BoolProperty       mask=0x1
  +0x998   bCanClockBomb                                  BoolProperty       mask=0x40
  +0x998   bCanDodge                                      BoolProperty       mask=0x400
  +0x998   bCanBlock                                      BoolProperty       mask=0x100
  +0x998   bCanHysteria                                   BoolProperty       mask=0x80
  +0x998   bCanDeflect                                    BoolProperty       mask=0x200
  +0x998   bCanAiming                                     BoolProperty       mask=0x4
  +0x998   bCanShowPath                                   BoolProperty       mask=0x8
  +0x998   bCanShowCat                                    BoolProperty       mask=0x10
  +0x998   bCanEnableSonar                                BoolProperty       mask=0x20
  +0x998   bAllowFacingTargetInSpeicalMove                BoolProperty       mask=0x40000000
  +0x998   bUseStopMotion                                 BoolProperty       mask=0x8000000
  +0x998   bDrawTargetCone                                BoolProperty       mask=0x80000000
  +0x998   bCanDoubleJumpBackupWonderLand                 BoolProperty       mask=0x800
  +0x998   bCanFloatBackupWonderLand                      BoolProperty       mask=0x1000
  +0x998   bCanSprintBackupWonderLand                     BoolProperty       mask=0x2000
  +0x998   bCanCombatBackupWonderLand                     BoolProperty       mask=0x4000
  +0x998   bCanShrinkBackupWonderLand                     BoolProperty       mask=0x8000
  +0x998   bCanLockonBackupWonderLand                     BoolProperty       mask=0x10000
  +0x998   bCanAimingBackupWonderLand                     BoolProperty       mask=0x20000
  +0x998   bCanShowPathBackupWonderLand                   BoolProperty       mask=0x40000
  +0x998   bCanShowCatBackupWonderLand                    BoolProperty       mask=0x80000
  +0x998   bCanEnableSonarBackupWonderLand                BoolProperty       mask=0x100000
  +0x998   bCanClockBombBackupWonderLand                  BoolProperty       mask=0x200000
  +0x998   bCanHysteriaBackupWonderLand                   BoolProperty       mask=0x400000
  +0x998   bCanBlockBackupWonderLand                      BoolProperty       mask=0x800000
  +0x998   bCanDeflectBackupWonderLand                    BoolProperty       mask=0x1000000
  +0x998   bCanDodgeBackupWonderLand                      BoolProperty       mask=0x2000000
  +0x998   bArchetypeWonderLand                           BoolProperty       mask=0x4000000
  +0x998   bEnableNonLockOnAutoTargeting                  BoolProperty       mask=0x10000000
  +0x998   bEnableNoNPCInCamLocking                       BoolProperty       mask=0x20000000
  +0x99c   bInRollingMode                                 BoolProperty       mask=0x100
  +0x99c   bInLockOnMode                                  BoolProperty       mask=0x4
  +0x99c   bHasHealth                                     BoolProperty       mask=0x80000000
  +0x99c   bFloatDown                                     BoolProperty       mask=0x800
